userId,movieId,title
225,237,Jerry Maguire (1996)
299,229,Star Trek III: The Search for Spock (1984)
225,480,North by Northwest (1959)
276,54,Outbreak (1995)
291,144,Die Hard (1988)
222,366,Dangerous Minds (1995)
267,518,Miller's Crossing (1990)
42,403,Batman (1989)
11,111,"Truth About Cats & Dogs, The (1996)"
95,625,"Sword in the Stone, The (1963)"
8,338,Bean (1997)
162,25,"Birdcage, The (1996)"
87,1016,Con Air (1997)
279,154,Monty Python's Life of Brian (1979)
145,275,Sense and Sensibility (1995)
119,1153,Backbeat (1993)
62,498,"African Queen, The (1951)"
62,382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
28,209,This Is Spinal Tap (1984)
135,23,Taxi Driver (1976)
32,294,Liar Liar (1997)
90,382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
286,208,Young Frankenstein (1974)
293,685,Executive Decision (1996)
216,144,Die Hard (1988)
166,328,Conspiracy Theory (1997)
250,496,It's a Wonderful Life (1946)
271,132,"Wizard of Oz, The (1939)"
160,174,Raiders of the Lost Ark (1981)
265,118,Twister (1996)
198,498,"African Queen, The (1951)"
42,96,Terminator 2: Judgment Day (1991)
168,151,Willy Wonka and the Chocolate Factory (1971)
110,307,"Devil's Advocate, The (1997)"
58,144,Die Hard (1988)
90,648,"Quiet Man, The (1952)"
271,346,Jackie Brown (1997)
62,21,Muppet Treasure Island (1996)
279,832,Bogus (1996)
237,514,Annie Hall (1977)
94,789,Swimming with Sharks (1995)
128,485,My Fair Lady (1964)
298,317,In the Name of the Father (1993)
44,195,"Terminator, The (1984)"
264,200,"Shining, The (1980)"
194,385,True Lies (1994)
72,195,"Terminator, The (1984)"
222,750,Amistad (1997)
250,264,Mimic (1997)
41,265,"Hunt for Red October, The (1990)"
224,245,"Devil's Own, The (1997)"
82,135,2001: A Space Odyssey (1968)
262,1147,My Family (1995)
293,471,Courage Under Fire (1996)
216,658,Pump Up the Volume (1990)
250,140,Homeward Bound: The Incredible Journey (1993)
59,23,Taxi Driver (1976)
286,379,Tales From the Crypt Presents: Demon Knight (1995)
244,815,One Fine Day (1996)
7,479,Vertigo (1958)
174,368,Bio-Dome (1996)
87,274,Sabrina (1995)
194,1211,Blue Sky (1994)
82,1134,Get on the Bus (1996)
13,836,Ninotchka (1939)
13,272,Good Will Hunting (1997)
244,756,Father of the Bride Part II (1995)
305,427,To Kill a Mockingbird (1962)
95,787,Roommates (1995)
43,14,"Postino, Il (1994)"
299,955,Before Sunrise (1995)
57,419,Mary Poppins (1964)
84,405,Mission: Impossible (1996)
269,504,Bonnie and Clyde (1967)
299,111,"Truth About Cats & Dogs, The (1996)"
194,466,Red Rock West (1992)
160,135,2001: A Space Odyssey (1968)
99,268,Chasing Amy (1997)
10,486,Sabrina (1954)
259,117,"Rock, The (1996)"
85,427,To Kill a Mockingbird (1962)
303,919,"City of Lost Children, The (1995)"
213,273,Heat (1995)
121,514,Annie Hall (1977)
90,98,"Silence of the Lambs, The (1991)"
49,559,Interview with the Vampire (1994)
42,794,It Could Happen to You (1994)
155,323,Dante's Peak (1997)
68,117,"Rock, The (1996)"
172,177,"Good, The Bad and The Ugly, The (1966)"
19,4,Get Shorty (1995)
268,231,Batman Returns (1992)
5,2,GoldenEye (1995)
305,117,"Rock, The (1996)"
44,294,Liar Liar (1997)
43,137,Big Night (1996)
279,1336,Kazaam (1996)
80,466,Red Rock West (1992)
254,164,"Abyss, The (1989)"
298,281,"River Wild, The (1994)"
279,1240,Ghost in the Shell (Kokaku kidotai) (1995)
66,298,Face/Off (1997)
18,443,"Birds, The (1963)"
268,1035,Cool Runnings (1993)
99,79,"Fugitive, The (1993)"
13,98,"Silence of the Lambs, The (1991)"
26,258,Contact (1997)
7,455,Jackie Chan's First Strike (1996)
222,755,Jumanji (1995)
200,673,Cape Fear (1962)
119,328,Conspiracy Theory (1997)
213,172,"Empire Strikes Back, The (1980)"
276,322,Murder at 1600 (1997)
94,1217,Assassins (1995)
130,379,Tales From the Crypt Presents: Demon Knight (1995)
38,328,Conspiracy Theory (1997)
160,719,Canadian Bacon (1994)
293,1267,Clockers (1995)
26,930,Chain Reaction (1996)
130,216,When Harry Met Sally... (1989)
92,1079,Joe's Apartment (1996)
256,452,Jaws 2 (1978)
1,61,Three Colors: White (1994)
72,48,Hoop Dreams (1994)
56,755,Jumanji (1995)
13,360,Wonderland (1997)
15,405,Mission: Impossible (1996)
92,77,"Firm, The (1993)"
207,476,"First Wives Club, The (1996)"
292,174,Raiders of the Lost Ark (1981)
232,483,Casablanca (1942)
251,748,"Saint, The (1997)"
224,26,"Brothers McMullen, The (1995)"
181,220,"Mirror Has Two Faces, The (1996)"
259,255,My Best Friend's Wedding (1997)
305,471,Courage Under Fire (1996)
52,280,Up Close and Personal (1996)
161,202,Groundhog Day (1993)
148,408,"Close Shave, A (1995)"
125,235,Mars Attacks! (1996)
97,228,Star Trek: The Wrath of Khan (1982)
58,1098,Flirting With Disaster (1996)
83,234,Jaws (1975)
90,347,Wag the Dog (1997)
272,178,12 Angry Men (1957)
194,181,Return of the Jedi (1983)
125,478,"Philadelphia Story, The (1940)"
110,688,Leave It to Beaver (1997)
299,14,"Postino, Il (1994)"
151,10,Richard III (1995)
269,127,"Godfather, The (1972)"
6,14,"Postino, Il (1994)"
54,106,Diabolique (1996)
303,69,Forrest Gump (1994)
16,944,Renaissance Man (1994)
301,790,Tommy Boy (1995)
276,1091,Pete's Dragon (1977)
305,214,Pink Floyd - The Wall (1982)
194,1028,Grumpier Old Men (1995)
91,323,Dante's Peak (1997)
87,554,Waterworld (1995)
294,109,Mystery Science Theater 3000: The Movie (1996)
286,171,Delicatessen (1991)
200,318,Schindler's List (1993)
229,328,Conspiracy Theory (1997)
178,568,Speed (1994)
303,842,Pollyanna (1960)
62,65,What's Eating Gilbert Grape (1993)
207,591,Primal Fear (1996)
92,172,"Empire Strikes Back, The (1980)"
301,401,"Brady Bunch Movie, The (1995)"
36,339,Mad City (1997)
70,746,Real Genius (1985)
63,242,Kolya (1996)
28,201,Evil Dead II (1987)
279,68,"Crow, The (1994)"
250,7,Twelve Monkeys (1995)
14,98,"Silence of the Lambs, The (1991)"
299,1018,Tie Me Up! Tie Me Down! (1990)
194,54,Outbreak (1995)
303,815,One Fine Day (1996)
119,237,Jerry Maguire (1996)
295,218,Cape Fear (1991)
268,930,Chain Reaction (1996)
268,2,GoldenEye (1995)
66,258,Contact (1997)
233,202,Groundhog Day (1993)
83,623,Angels in the Outfield (1994)
214,334,U Turn (1997)
192,476,"First Wives Club, The (1996)"
100,344,"Apostle, The (1997)"
268,145,"Lawnmower Man, The (1992)"
301,56,Pulp Fiction (1994)
307,89,Blade Runner (1982)
234,141,"20,000 Leagues Under the Sea (1954)"
83,576,Cliffhanger (1993)
181,264,Mimic (1997)
297,133,Gone with the Wind (1939)
38,153,"Fish Called Wanda, A (1988)"
7,382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
264,813,"Celluloid Closet, The (1995)"
181,872,Love Jones (1997)
201,146,Unhook the Stars (1996)
85,507,"Streetcar Named Desire, A (1951)"
269,367,Clueless (1995)
59,468,Rudy (1993)
286,143,"Sound of Music, The (1965)"
193,96,Terminator 2: Judgment Day (1991)
113,595,"Fan, The (1996)"
292,11,Seven (Se7en) (1995)
130,1014,Romy and Michele's High School Reunion (1997)
275,98,"Silence of the Lambs, The (1991)"
189,520,"Great Escape, The (1963)"
219,82,Jurassic Park (1993)
218,209,This Is Spinal Tap (1984)
123,427,To Kill a Mockingbird (1962)
119,222,Star Trek: First Contact (1996)
158,177,"Good, The Bad and The Ugly, The (1966)"
222,118,Twister (1996)
302,322,Murder at 1600 (1997)
279,501,Dumbo (1941)
301,79,"Fugitive, The (1993)"
181,3,Four Rooms (1995)
201,695,Kicking and Screaming (1995)
13,198,Nikita (La Femme Nikita) (1990)
1,189,"Grand Day Out, A (1992)"
145,237,Jerry Maguire (1996)
23,385,True Lies (1994)
201,767,"Addiction, The (1995)"
296,705,Singin' in the Rain (1952)
42,546,Broken Arrow (1996)
33,872,Love Jones (1997)
301,554,Waterworld (1995)
16,64,"Shawshank Redemption, The (1994)"
95,135,2001: A Space Odyssey (1968)
154,357,One Flew Over the Cuckoo's Nest (1975)
77,484,"Maltese Falcon, The (1941)"
296,508,"People vs. Larry Flynt, The (1996)"
302,303,Ulee's Gold (1997)
244,673,Cape Fear (1962)
222,77,"Firm, The (1993)"
13,215,Field of Dreams (1989)
16,705,Singin' in the Rain (1952)
270,452,Jaws 2 (1978)
145,15,Mr. Holland's Opus (1995)
187,64,"Shawshank Redemption, The (1994)"
200,304,Fly Away Home (1996)
170,749,"MatchMaker, The (1997)"
101,829,Fled (1996)
184,218,Cape Fear (1991)
128,204,Back to the Future (1985)
181,1295,Kicked in the Head (1997)
184,153,"Fish Called Wanda, A (1988)"
1,33,Desperado (1995)
1,160,Glengarry Glen Ross (1992)
184,321,Mother (1996)
54,595,"Fan, The (1996)"
94,343,Alien: Resurrection (1997)
128,508,"People vs. Larry Flynt, The (1996)"
23,323,Dante's Peak (1997)
301,227,Star Trek VI: The Undiscovered Country (1991)
301,191,Amadeus (1984)
112,903,Afterglow (1997)
82,183,Alien (1979)
222,724,Circle of Friends (1995)
218,430,Duck Soup (1933)
308,1197,"Family Thing, A (1996)"
303,134,Citizen Kane (1941)
133,751,Tomorrow Never Dies (1997)
215,212,"Unbearable Lightness of Being, The (1988)"
69,256,When the Cats Away (Chacun cherche son chat) (1996)
254,662,Somewhere in Time (1980)
276,2,GoldenEye (1995)
104,984,Shadow Conspiracy (1997)
63,1067,Bottle Rocket (1996)
267,410,Kingpin (1996)
13,56,Pulp Fiction (1994)
240,879,"Peacemaker, The (1997)"
286,237,Jerry Maguire (1996)
294,271,Starship Troopers (1997)
90,1086,It's My Party (1995)
18,26,"Brothers McMullen, The (1995)"
92,229,Star Trek III: The Search for Spock (1984)
308,649,Once Upon a Time in America (1984)
144,89,Blade Runner (1982)
191,302,L.A. Confidential (1997)
59,951,"Indian in the Cupboard, The (1995)"
200,96,Terminator 2: Judgment Day (1991)
16,197,"Graduate, The (1967)"
61,678,Volcano (1997)
271,199,"Bridge on the River Kwai, The (1957)"
271,709,Strictly Ballroom (1992)
142,169,"Wrong Trousers, The (1993)"
275,597,Eraser (1996)
222,151,Willy Wonka and the Chocolate Factory (1971)
87,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
207,258,Contact (1997)
272,1393,Stag (1997)
177,333,"Game, The (1997)"
207,1115,Twelfth Night (1996)
299,577,Coneheads (1993)
271,378,Miracle on 34th Street (1994)
305,425,Bob Roberts (1992)
49,959,Dazed and Confused (1993)
94,1224,"Scout, The (1994)"
130,1017,Trees Lounge (1996)
10,175,Brazil (1985)
203,321,Mother (1996)
191,286,"English Patient, The (1996)"
43,323,Dante's Peak (1997)
21,558,Heavenly Creatures (1994)
197,96,Terminator 2: Judgment Day (1991)
13,344,"Apostle, The (1997)"
194,66,While You Were Sleeping (1995)
234,206,Akira (1988)
308,402,Ghost (1990)
308,640,"Cook the Thief His Wife & Her Lover, The (1989)"
269,522,Down by Law (1986)
94,265,"Hunt for Red October, The (1990)"
268,62,Stargate (1994)
272,12,"Usual Suspects, The (1995)"
121,291,Absolute Power (1997)
296,20,Angels and Insects (1995)
134,286,"English Patient, The (1996)"
180,462,Like Water For Chocolate (Como agua para chocolate) (1992)
234,612,Lost Horizon (1937)
104,117,"Rock, The (1996)"
38,758,Lawnmower Man 2: Beyond Cyberspace (1996)
269,845,That Thing You Do! (1996)
7,163,"Return of the Pink Panther, The (1974)"
234,1451,Foreign Correspondent (1940)
275,405,Mission: Impossible (1996)
52,250,"Fifth Element, The (1997)"
102,823,Mulholland Falls (1996)
13,186,"Blues Brothers, The (1980)"
178,731,"Corrina, Corrina (1994)"
236,71,"Lion King, The (1994)"
256,781,French Kiss (1995)
263,176,Aliens (1986)
244,186,"Blues Brothers, The (1980)"
279,1181,"Low Down Dirty Shame, A (1994)"
43,815,One Fine Day (1996)
83,78,Free Willy (1993)
151,197,"Graduate, The (1967)"
254,436,"American Werewolf in London, An (1981)"
109,631,"Crying Game, The (1992)"
297,716,Home for the Holidays (1995)
249,188,Full Metal Jacket (1987)
144,699,Little Women (1994)
301,604,It Happened One Night (1934)
64,392,"Man Without a Face, The (1993)"
92,501,Dumbo (1941)
222,97,Dances with Wolves (1990)
268,436,"American Werewolf in London, An (1981)"
293,135,2001: A Space Odyssey (1968)
213,173,"Princess Bride, The (1987)"
160,460,"Crossing Guard, The (1995)"
13,498,"African Queen, The (1951)"
59,715,To Die For (1995)
5,17,From Dusk Till Dawn (1996)
125,163,"Return of the Pink Panther, The (1974)"
174,315,Apt Pupil (1998)
114,505,Dial M for Murder (1954)
213,515,"Boot, Das (1981)"
23,196,Dead Poets Society (1989)
128,15,Mr. Holland's Opus (1995)
239,56,Pulp Fiction (1994)
181,279,Once Upon a Time... When We Were Colored (1995)
291,80,Hot Shots! Part Deux (1993)
250,238,Raising Arizona (1987)
201,649,Once Upon a Time in America (1984)
60,60,Three Colors: Blue (1993)
181,325,Crash (1996)
119,407,Spy Hard (1996)
287,1,Toy Story (1995)
216,228,Star Trek: The Wrath of Khan (1982)
216,531,Shine (1996)
203,471,Courage Under Fire (1996)
92,587,"Hour of the Pig, The (1993)"
13,892,Flubber (1997)
213,176,Aliens (1986)
286,288,Scream (1996)
117,1047,Multiplicity (1996)
99,111,"Truth About Cats & Dogs, The (1996)"
11,558,Heavenly Creatures (1994)
65,47,Ed Wood (1994)
295,194,"Sting, The (1973)"
269,217,Bram Stoker's Dracula (1992)
85,259,George of the Jungle (1997)
250,596,"Hunchback of Notre Dame, The (1996)"
137,144,Die Hard (1988)
201,960,Naked (1993)
257,137,Big Night (1996)
111,328,Conspiracy Theory (1997)
91,480,North by Northwest (1959)
215,211,M*A*S*H (1970)
181,938,"Smile Like Yours, A (1997)"
189,1060,"Adventures of Pinocchio, The (1996)"
1,20,Angels and Insects (1995)
303,404,Pinocchio (1940)
299,305,"Ice Storm, The (1997)"
187,210,Indiana Jones and the Last Crusade (1989)
222,278,Bed of Roses (1996)
214,568,Speed (1994)
293,770,Devil in a Blue Dress (1995)
285,191,Amadeus (1984)
303,252,"Lost World: Jurassic Park, The (1997)"
96,156,Reservoir Dogs (1992)
72,1110,Tank Girl (1995)
115,1067,Bottle Rocket (1996)
7,430,Duck Soup (1933)
116,350,Fallen (1998)
73,480,North by Northwest (1959)
269,246,Chasing Amy (1997)
263,419,Mary Poppins (1964)
70,431,Highlander (1986)
221,475,Trainspotting (1996)
72,182,GoodFellas (1990)
25,357,One Flew Over the Cuckoo's Nest (1975)
290,50,Star Wars (1977)
189,526,Ben-Hur (1959)
299,303,Ulee's Gold (1997)
264,294,Liar Liar (1997)
200,365,Powder (1995)
187,135,2001: A Space Odyssey (1968)
184,187,"Godfather: Part II, The (1974)"
63,289,Evita (1996)
13,229,Star Trek III: The Search for Spock (1984)
298,486,Sabrina (1954)
235,185,Psycho (1960)
62,712,Tin Men (1987)
246,94,Home Alone (1990)
54,742,Ransom (1996)
63,762,Beautiful Girls (1996)
11,732,Dave (1993)
92,168,Monty Python and the Holy Grail (1974)
8,550,Die Hard: With a Vengeance (1995)
307,174,Raiders of the Lost Ark (1981)
303,200,"Shining, The (1980)"
256,849,Days of Thunder (1990)
72,54,Outbreak (1995)
164,406,Thinner (1996)
117,150,Swingers (1996)
224,77,"Firm, The (1993)"
193,869,Fools Rush In (1997)
94,184,Army of Darkness (1993)
281,338,Bean (1997)
130,109,Mystery Science Theater 3000: The Movie (1996)
128,371,"Bridges of Madison County, The (1995)"
94,720,First Knight (1995)
182,845,That Thing You Do! (1996)
129,873,Picture Perfect (1997)
254,229,Star Trek III: The Search for Spock (1984)
64,381,Muriel's Wedding (1994)
151,176,Aliens (1986)
45,25,"Birdcage, The (1996)"
193,879,"Peacemaker, The (1997)"
276,922,Dead Man (1995)
276,57,Priest (1994)
234,187,"Godfather: Part II, The (1974)"
181,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
21,370,Mary Reilly (1996)
293,249,Austin Powers: International Man of Mystery (1997)
264,721,Mallrats (1995)
10,611,Laura (1944)
197,346,Jackie Brown (1997)
276,142,Bedknobs and Broomsticks (1971)
308,427,To Kill a Mockingbird (1962)
221,943,Killing Zoe (1994)
131,126,"Spitfire Grill, The (1996)"
268,824,"Great White Hype, The (1996)"
109,8,Babe (1995)
198,58,Quiz Show (1994)
230,680,Kull the Conqueror (1997)
181,741,"Last Supper, The (1995)"
192,1061,"Evening Star, The (1996)"
234,448,"Omen, The (1976)"
90,900,Kundun (1997)
193,941,With Honors (1994)
128,603,Rear Window (1954)
126,905,Great Expectations (1998)
244,265,"Hunt for Red October, The (1990)"
90,289,Evita (1996)
157,25,"Birdcage, The (1996)"
305,71,"Lion King, The (1994)"
119,382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
21,222,Star Trek: First Contact (1996)
231,181,Return of the Jedi (1983)
280,508,"People vs. Larry Flynt, The (1996)"
288,132,"Wizard of Oz, The (1939)"
279,1497,"Line King: Al Hirschfeld, The (1996)"
301,33,Desperado (1995)
72,699,Little Women (1994)
90,259,George of the Jungle (1997)
308,55,"Professional, The (1994)"
59,742,Ransom (1996)
94,744,Michael Collins (1996)
130,642,"Grifters, The (1990)"
26,1015,Shiloh (1997)
56,121,Independence Day (ID4) (1996)
82,508,"People vs. Larry Flynt, The (1996)"
62,12,"Usual Suspects, The (1995)"
276,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
181,1015,Shiloh (1997)
152,301,In & Out (1997)
178,845,That Thing You Do! (1996)
217,597,Eraser (1996)
79,303,Ulee's Gold (1997)
138,484,"Maltese Falcon, The (1941)"
308,81,"Hudsucker Proxy, The (1994)"
75,284,Tin Cup (1996)
269,198,Nikita (La Femme Nikita) (1990)
307,94,Home Alone (1990)
222,781,French Kiss (1995)
121,740,Jane Eyre (1996)
269,22,Braveheart (1995)
13,864,My Fellow Americans (1996)
230,742,Ransom (1996)
269,507,"Streetcar Named Desire, A (1951)"
239,1099,"Red Firecracker, Green Firecracker (1994)"
245,1028,Grumpier Old Men (1995)
56,546,Broken Arrow (1996)
295,961,Orlando (1993)
271,1028,Grumpier Old Men (1995)
222,812,Andre (1994)
69,240,Beavis and Butt-head Do America (1996)
10,7,Twelve Monkeys (1995)
22,376,Houseguest (1994)
294,931,"Island of Dr. Moreau, The (1996)"
82,717,"Juror, The (1996)"
279,399,"Three Musketeers, The (1993)"
269,234,Jaws (1975)
6,98,"Silence of the Lambs, The (1991)"
243,1039,Hamlet (1996)
298,181,Return of the Jedi (1983)
282,325,Crash (1996)
78,323,Dante's Peak (1997)
118,200,"Shining, The (1980)"
283,1114,Faithful (1996)
171,292,Rosewood (1997)
70,217,Bram Stoker's Dracula (1992)
10,100,Fargo (1996)
245,181,Return of the Jedi (1983)
107,333,"Game, The (1997)"
246,561,Mary Shelley's Frankenstein (1994)
13,901,Mr. Magoo (1997)
276,70,Four Weddings and a Funeral (1994)
244,17,From Dusk Till Dawn (1996)
189,56,Pulp Fiction (1994)
226,242,Kolya (1996)
62,1016,Con Air (1997)
276,417,"Parent Trap, The (1961)"
214,478,"Philadelphia Story, The (1940)"
306,235,Mars Attacks! (1996)
222,26,"Brothers McMullen, The (1995)"
280,631,"Crying Game, The (1992)"
60,430,Duck Soup (1933)
56,71,"Lion King, The (1994)"
42,274,Sabrina (1995)
1,202,Groundhog Day (1993)
13,809,Rising Sun (1993)
173,289,Evita (1996)
15,749,"MatchMaker, The (1997)"
185,23,Taxi Driver (1976)
280,540,Money Train (1995)
244,381,Muriel's Wedding (1994)
150,293,Donnie Brasco (1997)
7,497,Bringing Up Baby (1938)
178,317,In the Name of the Father (1993)
178,742,Ransom (1996)
95,1217,Assassins (1995)
234,1462,"Thieves (Voleurs, Les) (1996)"
97,222,Star Trek: First Contact (1996)
109,127,"Godfather, The (1972)"
117,268,Chasing Amy (1997)
269,705,Singin' in the Rain (1952)
130,1246,Bushwhacked (1995)
264,655,Stand by Me (1986)
207,13,Mighty Aphrodite (1995)
42,588,Beauty and the Beast (1991)
246,409,Jack (1996)
87,367,Clueless (1995)
101,304,Fly Away Home (1996)
256,127,"Godfather, The (1972)"
92,794,It Could Happen to You (1994)
181,762,Beautiful Girls (1996)
213,235,Mars Attacks! (1996)
92,739,Pretty Woman (1990)
292,661,High Noon (1952)
246,665,Alien 3 (1992)
274,845,That Thing You Do! (1996)
188,692,"American President, The (1995)"
18,86,"Remains of the Day, The (1993)"
5,439,Amityville: A New Generation (1993)
236,632,Sophie's Choice (1982)
193,407,Spy Hard (1996)
144,709,Strictly Ballroom (1992)
90,1198,Purple Noon (1960)
48,609,Father of the Bride (1950)
5,225,101 Dalmatians (1996)
22,128,Supercop (1992)
311,432,Fantasia (1940)
8,22,Braveheart (1995)
276,188,Full Metal Jacket (1987)
222,173,"Princess Bride, The (1987)"
72,866,Michael (1996)
299,134,Citizen Kane (1941)
1,171,Delicatessen (1991)
308,295,Breakdown (1997)
165,216,When Harry Met Sally... (1989)
222,49,I.Q. (1994)
181,121,Independence Day (ID4) (1996)
200,11,Seven (Se7en) (1995)
234,626,So Dear to My Heart (1949)
244,707,Enchanted April (1991)
90,25,"Birdcage, The (1996)"
208,216,When Harry Met Sally... (1989)
263,96,Terminator 2: Judgment Day (1991)
134,323,Dante's Peak (1997)
279,586,Terminal Velocity (1994)
2,292,Rosewood (1997)
288,593,Stalingrad (1993)
49,302,L.A. Confidential (1997)
286,153,"Fish Called Wanda, A (1988)"
205,304,Fly Away Home (1996)
22,80,Hot Shots! Part Deux (1993)
234,318,Schindler's List (1993)
223,328,Conspiracy Theory (1997)
15,25,"Birdcage, The (1996)"
268,147,"Long Kiss Goodnight, The (1996)"
94,1220,Higher Learning (1995)
274,405,Mission: Impossible (1996)
7,492,East of Eden (1955)
268,217,Bram Stoker's Dracula (1992)
16,55,"Professional, The (1994)"
164,620,"Chamber, The (1996)"
290,161,Top Gun (1986)
92,515,"Boot, Das (1981)"
239,1070,Living in Oblivion (1995)
56,449,Star Trek: The Motion Picture (1979)
248,234,Jaws (1975)
234,10,Richard III (1995)
280,1049,House Arrest (1996)
308,187,"Godfather: Part II, The (1974)"
276,64,"Shawshank Redemption, The (1994)"
192,948,Booty Call (1997)
122,509,My Left Foot (1989)
85,588,Beauty and the Beast (1991)
262,931,"Island of Dr. Moreau, The (1996)"
201,272,Good Will Hunting (1997)
181,870,Touch (1997)
295,739,Pretty Woman (1990)
263,568,Speed (1994)
295,39,Strange Days (1995)
201,1100,What Happened Was... (1994)
93,820,Space Jam (1996)
159,1028,Grumpier Old Men (1995)
158,665,Alien 3 (1992)
293,423,E.T. the Extra-Terrestrial (1982)
82,597,Eraser (1996)
276,181,Return of the Jedi (1983)
13,823,Mulholland Falls (1996)
217,2,GoldenEye (1995)
83,660,Fried Green Tomatoes (1991)
189,20,Angels and Insects (1995)
222,796,Speechless (1994)
146,1022,"Fast, Cheap & Out of Control (1997)"
267,121,Independence Day (ID4) (1996)
126,294,Liar Liar (1997)
181,1060,"Adventures of Pinocchio, The (1996)"
125,80,Hot Shots! Part Deux (1993)
43,120,Striptease (1996)
13,780,Dumb & Dumber (1994)
253,259,George of the Jungle (1997)
42,44,Dolores Claiborne (1994)
77,518,Miller's Crossing (1990)
291,686,"Perfect World, A (1993)"
268,21,Muppet Treasure Island (1996)
262,28,Apollo 13 (1995)
234,81,"Hudsucker Proxy, The (1994)"
29,245,"Devil's Own, The (1997)"
236,57,Priest (1994)
158,729,Nell (1994)
156,661,High Noon (1952)
232,52,"Madness of King George, The (1994)"
168,866,Michael (1996)
37,288,Scream (1996)
141,245,"Devil's Own, The (1997)"
235,230,Star Trek IV: The Voyage Home (1986)
102,70,Four Weddings and a Funeral (1994)
77,172,"Empire Strikes Back, The (1980)"
90,506,Rebel Without a Cause (1955)
186,566,Clear and Present Danger (1994)
44,660,Fried Green Tomatoes (1991)
118,774,"Prophecy, The (1995)"
7,661,High Noon (1952)
49,1003,That Darn Cat! (1997)
62,68,"Crow, The (1994)"
42,1028,Grumpier Old Men (1995)
178,433,Heathers (1989)
85,51,Legends of the Fall (1994)
77,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
58,1099,"Red Firecracker, Green Firecracker (1994)"
56,1047,Multiplicity (1996)
197,688,Leave It to Beaver (1997)
286,99,Snow White and the Seven Dwarfs (1937)
90,258,Contact (1997)
181,1288,Denise Calls Up (1995)
295,190,Henry V (1989)
224,69,Forrest Gump (1994)
272,317,In the Name of the Father (1993)
221,1010,Basquiat (1996)
66,877,Excess Baggage (1997)
207,318,Schindler's List (1993)
234,487,Roman Holiday (1953)
7,648,"Quiet Man, The (1952)"
87,82,Jurassic Park (1993)
195,1052,Dracula: Dead and Loving It (1995)
44,449,Star Trek: The Motion Picture (1979)
306,287,Marvin's Room (1996)
